Run 2
31.300000000000175, 45.89795918367347, 49, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.400000000000176, 44.98, 50, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.500000000000178, 44.09803921568628, 51, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.60000000000018, 43.25, 52, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.70000000000018, 42.43396226415094, 53, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.800000000000182, 41.27777777777778, 54, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
31.900000000000183, 40.18181818181818, 55, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.000000000000185, 47.69642857142857, 56, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.100000000000186, 60.01754385964912, 57, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.20000000000019, 58.63793103448276, 58, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.30000000000019, 57.644067796610166, 59, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.40000000000019, 56.68333333333333, 60, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.50000000000019, 58.704918032786885, 61, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
32.60000000000019, 57.75806451612903, 62, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.20000000000043, 56.84126984126984, 63, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.30000000000043, 55.640625, 64, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.40000000000043, 56.06153846153846, 65, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.50000000000043, 55.21212121212121, 66, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.600000000000435, 54.38805970149254, 67, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.700000000000436, 53.294117647058826, 68, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.80000000000044, 52.52173913043478, 69, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
49.90000000000044, 51.5, 70, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.00000000000044, 55.0, 71, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.10000000000044, 53.958333333333336, 72, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.20000000000044, 53.21917808219178, 73, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.300000000000445, 52.5, 74, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.400000000000446, 51.8, 75, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.50000000000045, 51.11842105263158, 76, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.60000000000045, 50.714285714285715, 77, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.70000000000045, 50.06410256410256, 78, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.80000000000045, 49.177215189873415, 79, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
50.90000000000045, 48.5625, 80, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
51.000000000000455, 47.96296296296296, 81, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
51.100000000000456, 47.3780487804878, 82, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
51.20000000000046, 46.80722891566265, 83, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
51.30000000000046, 45.54761904761905, 84, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
51.40000000000046, 44.77647058823529, 85, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
51.50000000000046, 45.41860465116279, 86, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
51.60000000000046, 44.89655172413793, 87, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
51.700000000000465, 44.15909090909091, 88, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
51.800000000000466, 43.662921348314605, 89, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
51.90000000000047, 43.17777777777778, 90, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
52.00000000000047, 42.7032967032967, 91, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
52.10000000000047, 44.19565217391305, 92, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
52.20000000000047, 43.72043010752688, 93, 1, 1000000000.0, cross_prob='0.2', max_gen='800', mut_branch_prob='0.6', mut_insert_prob='0.1', mut_move_course_prob='0.2', mut_prob='0.7', popsize='25'
